tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 16, 0.3, 0, 0, 0.34641, 0.17191, 0.404131
tmfreqs:, 17, 0.32, 0, 0, 0.369504, 0.181334, 0.398675
tmfreqs:, 18, 0.34, 0, 0, 0.392598, 0.190255, 0.39335
tmfreqs:, 19, 0.36, 0, 0, 0.415692, 0.198589, 0.388224
tmfreqs:, 20, 0.38, 0, 0, 0.438786, 0.206241, 0.383384
tmfreqs:, 21, 0.4, 0, 0, 0.46188, 0.213092, 0.378935
tmfreqs:, 22, 0.42, 0, 0, 0.484974, 0.219008, 0.375
tmfreqs:, 23, 0.44, 0, 0, 0.508068, 0.223841, 0.37172
tmfreqs:, 24, 0.46, 0, 0, 0.531162, 0.227436, 0.369239
tmfreqs:, 25, 0.48, 0, 0, 0.554256, 0.229659, 0.367688
tmfreqs:, 26, 0.5, 0, 0, 0.57735, 0.230411, 0.367159
tmfreqs:, 27, 0.5, 0.02, 0, 0.566157, 0.230308, 0.367447
tmfreqs:, 28, 0.5, 0.04, 0, 0.555698, 0.230006, 0.368302
tmfreqs:, 29, 0.5, 0.06, 0, 0.546016, 0.229527, 0.369689
tmfreqs:, 30, 0.5, 0.08, 0, 0.537153, 0.228906, 0.371556
tmfreqs:, 31, 0.5, 0.1, 0, 0.52915, 0.228187, 0.373832
tmfreqs:, 32, 0.5, 0.12, 0, 0.522047, 0.227417, 0.376424
tmfreqs:, 33, 0.5, 0.14, 0, 0.515881, 0.226647, 0.37922
tmfreqs:, 34, 0.5, 0.16, 0, 0.510686, 0.225923, 0.382081
tmfreqs:, 35, 0.5, 0.18, 0, 0.506491, 0.225289, 0.384834
tmfreqs:, 36, 0.5, 0.2, 0, 0.503322, 0.22478, 0.387261
tmfreqs:, 37, 0.5, 0.22, 0, 0.501199, 0.224426, 0.389106
tmfreqs:, 38, 0.5, 0.24, 0, 0.500133, 0.224244, 0.390108
tmfreqs:, 39, 0.5, 0.26, 0, 0.500133, 0.224245, 0.390093
